[Sun Jun 29 08:22:21.953125 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in C:\\wamp\\www\\app\\models\\UserControl.php on line 103, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP Stack trace:, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   1. {main}() C:\\wamp\\www\\public\\index.php:0, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   2. Illuminate\\Foundation\\Application->run() C:\\wamp\\www\\public\\index.php:49, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   3. Illuminate\\Foundation\\Application->dispatch() C:\\wamp\\www\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Application.php:552, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   4. Illuminate\\Routing\\Router->dispatch() C:\\wamp\\www\\vendor\\laravel\\framework\\src\\Illuminate\\Foundation\\Application.php:576, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   5. Illuminate\\Routing\\Route->run() C:\\wamp\\www\\vendor\\laravel\\framework\\src\\Illuminate\\Routing\\Router.php:1016, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   6. Illuminate\\Routing\\Route->callCallable() C:\\wamp\\www\\vendor\\laravel\\framework\\src\\Illuminate\\Routing\\Route.php:47, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   7. call_user_func_array() C:\\wamp\\www\\vendor\\laravel\\framework\\src\\Illuminate\\Routing\\Route.php:80, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   8. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() C:\\wamp\\www\\vendor\\laravel\\framework\\src\\Illuminate\\Routing\\Route.php:80, referer: http://localhost/login
[Sun Jun 29 08:22:21.984375 2014] [:error] [pid 3740:tid 620] [client 127.0.0.1:2391] PHP   9. Illuminate\\Routing\\Controllers\\Controller->callAction() C:\\wamp\\www\\vendor\\laravel\\framework\\src\\Illuminate\\Routing\\Router.php:985, referer: http://localhost/login
